视频标题：SKILL到底是什么？：精读《Equipping agents for the real world with Agent Skills》 ①
UP主：慢学AI
时长：05:47
链接：https://www.bilibili.com/video/BV1uZCFBdEs4

===== 字幕（带时间戳） =====

00:00.08 → 00:01.84  现在我们正站在一个转折点上
01:20.28 → 01:23.24  智能体能够动态发现并加载这些内容
01:23.24 → 01:24.96  以提升特定任务的表现
01:24.96 → 01:27.01  我们来拆解skill的三要素
01:27.01 → 01:30.37  instructions相当于手册中的SOP文字
01:30.37 → 01:32.57  告诉他如何一步步完成任务
01:32.57 → 01:35.04  scripts需要执行的Python文件
01:35.04 → 01:35.94  Resources
01:35.94 → 01:38.76  执行过程中用到的配置文件或模板
01:38.76 → 01:41.08  如JASON或doc x文件
01:41.08 → 01:42.32  这三要素正好对应
01:42.32 → 01:44.44  我们开头提到的两个痛点过程
01:44.44 → 01:46.90  知识的缺失由指令和脚本解决
01:46.90 → 01:48.08  组织背景的缺失
01:48.08 → 01:51.08  由资源解决
01:51.08 → 01:54.06  定义的后半句同样非常关键
01:54.06 → 01:55.76  智能体能够动态发现并加载这些内容
01:55.76 → 01:58.93  以提升特定任务的表现
01:58.93 → 02:01.93  这句话意味着skill不再被固定在系统提示中
02:01.93 → 02:03.63  而是可以被动态检索挂载和使用
02:03.63 → 02:04.80  当cloud面对不同任务时
02:04.80 → 02:07.44  比如分析财报
02:07.44 → 02:09.38  提取合同字段或生成合规文档
02:09.38 → 02:12.22  他会主动发现最相关的skill
02:12.22 → 02:14.40  加载其中的sop脚本和模板
02:14.40 → 02:16.60  使输出更精准更一致
02:16.60 → 02:18.24  也更可复现
02:18.24 → 02:20.95  这就是提升特定任务表现的真正含义
02:20.95 → 02:25.25  skill不只是知识的存储单元
02:25.25 → 02:26.16  而是让agent在特定场景下变得更专业的能力模块
02:26.16 → 02:29.96  换句话说
02:29.96 → 02:32.50  它赋予了cloud在需要时加载能力模块的心智模式
02:32.50 → 02:34.72  让智能边界不再受上下文窗口限制
02:34.72 → 02:36.06  而是能随任务实时扩展
02:36.06 → 02:39.20  也正因为如此
02:39.20 → 02:42.10  cloud才能实现近似无限上下文的工作流
02:42.10 → 02:45.28  这一机制在原文中被称为渐进式披露
02:45.28 → 02:46.48  下期我们将精读这一部分
02:46.48 → 02:49.84  看看ANTHROPIC是如何通过这套机制
02:49.84 → 02:51.10  让大模型的思考空间实现逻辑上的无限扩展
02:51.10 → 02:53.87  总结这一部分
02:53.87 → 02:57.27  agent就像一个聪明但没经验的新员工
02:57.27 → 03:00.86  skill就是给他的一本标准化sop入职指南
03:00.86 → 03:04.06  那么这个skill在系统架构里是如何体现的呢
03:04.06 → 03:07.26  这张图展示了配置和实现之间的联系
03:07.26 → 03:09.84  一右侧agent虚拟机
03:09.84 → 03:10.88  从右侧开始看
03:10.88 → 03:13.66  更容易理解它是agent的电脑和双手
03:13.66 → 03:15.40  是真正执行任务的地方
03:15.40 → 03:19.03  在顶部我们可以看到bash Python等图标
03:19.03 → 03:21.87  Python表示这台电脑安装了Python引擎
03:21.87 → 03:24.27  当skill文件夹中包含脚本时
03:24.27 → 03:25.79  LLM就能调用它
03:25.79 → 03:29.39  执行bash表示系统具有命令行终端
03:29.39 → 03:31.51  agent可以通过它操作文件
03:31.51 → 03:35.34  比如使用ls s列出文件或cut读取文件内容
03:35.34 → 03:37.08  这说明agent不仅能聊天
03:37.08 → 03:38.54  还能真正动手做事
03:38.54 → 03:41.44  文件系统中存放着所有skill的实体
03:41.44 → 03:44.25  二左侧agent配置
03:44.25 → 03:46.18  左侧的LLM是大脑
03:46.18 → 03:48.02  是决策中心agent的配置
03:48.02 → 03:50.86  更像是LLM可访问的sop索引
03:50.86 → 03:52.77  其中包含核心系统提示
03:52.77 → 03:55.17  以及一份以装备技能的清单
03:55.17 → 03:56.93  列出了技能名称和简介
03:56.93 → 03:59.37  如PDFDOX等
03:59.37 ��� 04:01.41  当cloud想使用某个skill
04:01.41 → 04:02.63  比如PDF时
04:02.63 → 04:05.97  它会通过to操作虚拟机执行命令
04:05.97 → 04:07.67  Run bash commandant
04:07.67 → 04:08.75  这意味着
04:08.75 → 04:12.28  bad指挥虚拟机打开并读取一个sop文件
04:12.28 → 04:15.26  读取到的内容会返回给LLM的上下风口
04:15.26 → 04:17.98  cloud便能学习并决定下一步该怎么做
04:17.98 → 04:18.72  总结来看
04:18.72 → 04:21.88  这个架构展示了LLM读取agent配置
04:21.88 → 04:24.24  并调用虚拟机来执行skill
04:24.24 → 04:24.82  到这里
04:24.82 → 04:25.62  很多人会问
04:25.62 → 04:27.48  既然skill也能触发执行
04:27.48 → 04:29.12  那它和to有什么区别
04:29.12 → 04:30.50  两者看起来相似
04:30.50 → 04:31.94  但角色完全不同
04:31.94 → 04:33.72  skill最终会调用tour
04:33.72 → 04:35.40  但它们的架构地位不同
04:35.40 → 04:36.47  可以这样理解
04:36.47 → 04:37.91  tool像一台烤箱
04:37.91 → 04:39.69  是底层的执行能力
04:39.69 → 04:40.89  它功能强大
04:40.89 → 04:43.17  但需要精确指令才能工作
04:43.17 → 04:45.49  skill则像一份妈妈的烤鸡食谱
04:45.49 → 04:46.73  它本身不烤鸡
04:46.73 → 04:48.67  但封装了全部过程知识
04:48.67 → 04:49.46  烤多久
04:49.46 → 04:50.28  温度多少
04:50.28 → 04:51.26  需要哪些原料
04:51.26 → 04:52.74  甚至经验性的诀窍
04:52.74 → 04:54.74  我们从几个维度来区分它们
04:54.74 → 04:57.04  to回答的是what我能做什么
04:57.04 → 04:58.91  技术上他执行代码
04:58.91 → 05:00.23  skill回答的是how
05:00.23 → 05:01.99  我该如何做好这件事
05:01.99 → 05:04.81  技术上他指导如何完成任务
05:04.81 → 05:06.79  tool是原子化能力
05:06.79 → 05:08.27  一个API或函数
05:08.27 → 05:09.53  skill是完整的
05:09.53 → 05:12.43  SOP包含指令脚本和资源
05:12.43 → 05:15.49  tool是执行器被动等待调用
05:15.49 → 05:18.31  skill是流程编排者主动指导
05:18.31 → 05:20.20  LLM调用to完成任务
05:20.20 → 05:22.58  tool的目标是提供原子能力
05:22.58 → 05:26.70  skill的目标是封装可移植可复用的过程知识
05:26.70 → 05:28.98  总结下skill不是tool的替代品
05:28.98 → 05:30.96  而是调用tool的sop
05:30.96 → 05:33.22  它封装了可组合的过程知识
05:33.22 → 05:35.52  让agent真正具备会做事的能力
05:35.52 → 05:37.24  好了第一期内容就到这里
05:37.24 → 05:39.12  我们搞清楚了agent skills是什么
05:39.12 → 05:42.20  它的系统架构以及它和to的核心区别
05:42.20 → 05:43.92  下一期我们讲详细讲述
05:43.92 → 05:48.35  skill如何通过渐进式披露实现近似无限上下文
